Name,collection_date,e_coli,Date
Marie Curtis Park East Beach,2024-08-22,40,2024-08-22
Marie Curtis Park East Beach,2024-08-22,40,2024-08-22
Marie Curtis Park East Beach,2024-08-22,80,2024-08-22
Marie Curtis Park East Beach,2024-08-22,20,2024-08-22
Sunnyside Beach,2024-08-22,130,2024-08-22
Sunnyside Beach,2024-08-22,140,2024-08-22
Sunnyside Beach,2024-08-22,70,2024-08-22
Sunnyside Beach,2024-08-22,110,2024-08-22
Sunnyside Beach,2024-08-22,160,2024-08-22
Sunnyside Beach,2024-08-22,60,2024-08-22
Marie Curtis Park East Beach,2024-08-21,10,2024-08-21
Marie Curtis Park East Beach,2024-08-21,20,2024-08-21
Marie Curtis Park East Beach,2024-08-21,10,2024-08-21
Marie Curtis Park East Beach,2024-08-21,10,2024-08-21
Marie Curtis Park East Beach,2024-08-21,20,2024-08-21
Sunnyside Beach,2024-08-21,190,2024-08-21
Sunnyside Beach,2024-08-21,200,2024-08-21
Sunnyside Beach,2024-08-21,40,2024-08-21
Sunnyside Beach,2024-08-21,60,2024-08-21
Sunnyside Beach,2024-08-21,90,2024-08-21
Sunnyside Beach,2024-08-21,50,2024-08-21
Marie Curtis Park East Beach,2024-08-20,300,2024-08-20
Marie Curtis Park East Beach,2024-08-20,180,2024-08-20
Marie Curtis Park East Beach,2024-08-20,350,2024-08-20
Marie Curtis Park East Beach,2024-08-20,270,2024-08-20
Marie Curtis Park East Beach,2024-08-20,330,2024-08-20
Sunnyside Beach,2024-08-20,350,2024-08-20
Sunnyside Beach,2024-08-20,30,2024-08-20
Sunnyside Beach,2024-08-20,150,2024-08-20
Sunnyside Beach,2024-08-20,70,2024-08-20
Sunnyside Beach,2024-08-20,380,2024-08-20
Sunnyside Beach,2024-08-20,50,2024-08-20
Marie Curtis Park East Beach,2024-08-19,370,2024-08-19
Marie Curtis Park East Beach,2024-08-19,250,2024-08-19
Marie Curtis Park East Beach,2024-08-19,370,2024-08-19
Marie Curtis Park East Beach,2024-08-19,360,2024-08-19
Marie Curtis Park East Beach,2024-08-19,350,2024-08-19
Sunnyside Beach,2024-08-19,80,2024-08-19
Sunnyside Beach,2024-08-19,80,2024-08-19
Sunnyside Beach,2024-08-19,70,2024-08-19
Sunnyside Beach,2024-08-19,180,2024-08-19
Sunnyside Beach,2024-08-19,90,2024-08-19
Sunnyside Beach,2024-08-19,110,2024-08-19
Marie Curtis Park East Beach,2024-08-18,300,2024-08-18
Marie Curtis Park East Beach,2024-08-18,10,2024-08-18
Marie Curtis Park East Beach,2024-08-18,20,2024-08-18
Marie Curtis Park East Beach,2024-08-18,210,2024-08-18
Marie Curtis Park East Beach,2024-08-18,340,2024-08-18
Sunnyside Beach,2024-08-18,600,2024-08-18
Sunnyside Beach,2024-08-18,320,2024-08-18
Sunnyside Beach,2024-08-18,240,2024-08-18
Sunnyside Beach,2024-08-18,190,2024-08-18
Sunnyside Beach,2024-08-18,350,2024-08-18
Sunnyside Beach,2024-08-18,280,2024-08-18
Marie Curtis Park East Beach,2024-08-17,40,2024-08-17
Marie Curtis Park East Beach,2024-08-17,10,2024-08-17
Marie Curtis Park East Beach,2024-08-17,20,2024-08-17
Marie Curtis Park East Beach,2024-08-17,10,2024-08-17
Marie Curtis Park East Beach,2024-08-17,40,2024-08-17
Sunnyside Beach,2024-08-17,90,2024-08-17
Sunnyside Beach,2024-08-17,100,2024-08-17
Sunnyside Beach,2024-08-17,60,2024-08-17
Sunnyside Beach,2024-08-17,20,2024-08-17
Sunnyside Beach,2024-08-17,140,2024-08-17
Sunnyside Beach,2024-08-17,20,2024-08-17
Marie Curtis Park East Beach,2024-08-16,10,2024-08-16
Marie Curtis Park East Beach,2024-08-16,10,2024-08-16
Marie Curtis Park East Beach,2024-08-16,10,2024-08-16
Marie Curtis Park East Beach,2024-08-16,10,2024-08-16
Marie Curtis Park East Beach,2024-08-16,10,2024-08-16
Sunnyside Beach,2024-08-16,90,2024-08-16
Sunnyside Beach,2024-08-16,160,2024-08-16
Sunnyside Beach,2024-08-16,40,2024-08-16
Sunnyside Beach,2024-08-16,30,2024-08-16
Sunnyside Beach,2024-08-16,50,2024-08-16
Sunnyside Beach,2024-08-16,20,2024-08-16
Marie Curtis Park East Beach,2024-08-15,30,2024-08-15
Marie Curtis Park East Beach,2024-08-15,10,2024-08-15
Marie Curtis Park East Beach,2024-08-15,20,2024-08-15
Marie Curtis Park East Beach,2024-08-15,10,2024-08-15
Marie Curtis Park East Beach,2024-08-15,10,2024-08-15
Sunnyside Beach,2024-08-15,220,2024-08-15
Sunnyside Beach,2024-08-15,130,2024-08-15
Sunnyside Beach,2024-08-15,10,2024-08-15
Sunnyside Beach,2024-08-15,10,2024-08-15
Sunnyside Beach,2024-08-15,60,2024-08-15
Sunnyside Beach,2024-08-15,20,2024-08-15
Marie Curtis Park East Beach,2024-08-14,10,2024-08-14
Marie Curtis Park East Beach,2024-08-14,10,2024-08-14
Marie Curtis Park East Beach,2024-08-14,20,2024-08-14
Marie Curtis Park East Beach,2024-08-14,30,2024-08-14
Marie Curtis Park East Beach,2024-08-14,10,2024-08-14
Sunnyside Beach,2024-08-14,220,2024-08-14
Sunnyside Beach,2024-08-14,160,2024-08-14
Sunnyside Beach,2024-08-14,30,2024-08-14
Sunnyside Beach,2024-08-14,30,2024-08-14
Sunnyside Beach,2024-08-14,170,2024-08-14
Sunnyside Beach,2024-08-14,20,2024-08-14
Marie Curtis Park East Beach,2024-08-13,10,2024-08-13
Marie Curtis Park East Beach,2024-08-13,30,2024-08-13
Marie Curtis Park East Beach,2024-08-13,20,2024-08-13
Marie Curtis Park East Beach,2024-08-13,10,2024-08-13
Marie Curtis Park East Beach,2024-08-13,10,2024-08-13
Sunnyside Beach,2024-08-13,800,2024-08-13
Sunnyside Beach,2024-08-13,160,2024-08-13
Sunnyside Beach,2024-08-13,90,2024-08-13
Sunnyside Beach,2024-08-13,50,2024-08-13
Sunnyside Beach,2024-08-13,200,2024-08-13
Sunnyside Beach,2024-08-13,20,2024-08-13
Marie Curtis Park East Beach,2024-08-12,20,2024-08-12
Marie Curtis Park East Beach,2024-08-12,10,2024-08-12
Marie Curtis Park East Beach,2024-08-12,10,2024-08-12
Marie Curtis Park East Beach,2024-08-12,20,2024-08-12
Marie Curtis Park East Beach,2024-08-12,10,2024-08-12
Sunnyside Beach,2024-08-12,90,2024-08-12
Sunnyside Beach,2024-08-12,390,2024-08-12
Sunnyside Beach,2024-08-12,100,2024-08-12
Sunnyside Beach,2024-08-12,100,2024-08-12
Sunnyside Beach,2024-08-12,30,2024-08-12
Sunnyside Beach,2024-08-12,30,2024-08-12
Marie Curtis Park East Beach,2024-08-11,180,2024-08-11
Marie Curtis Park East Beach,2024-08-11,110,2024-08-11
Marie Curtis Park East Beach,2024-08-11,150,2024-08-11
Marie Curtis Park East Beach,2024-08-11,140,2024-08-11
Marie Curtis Park East Beach,2024-08-11,180,2024-08-11
Sunnyside Beach,2024-08-11,70,2024-08-11
Sunnyside Beach,2024-08-11,60,2024-08-11
Sunnyside Beach,2024-08-11,30,2024-08-11
Sunnyside Beach,2024-08-11,60,2024-08-11
Sunnyside Beach,2024-08-11,10,2024-08-11
Sunnyside Beach,2024-08-11,170,2024-08-11
Marie Curtis Park East Beach,2024-08-10,290,2024-08-10
Marie Curtis Park East Beach,2024-08-10,230,2024-08-10
Marie Curtis Park East Beach,2024-08-10,100,2024-08-10
Marie Curtis Park East Beach,2024-08-10,240,2024-08-10
Marie Curtis Park East Beach,2024-08-10,210,2024-08-10
Sunnyside Beach,2024-08-10,190,2024-08-10
Sunnyside Beach,2024-08-10,80,2024-08-10
Sunnyside Beach,2024-08-10,140,2024-08-10
Sunnyside Beach,2024-08-10,240,2024-08-10
Sunnyside Beach,2024-08-10,250,2024-08-10
Sunnyside Beach,2024-08-10,340,2024-08-10
Marie Curtis Park East Beach,2024-08-09,460,2024-08-09
Marie Curtis Park East Beach,2024-08-09,300,2024-08-09
Marie Curtis Park East Beach,2024-08-09,110,2024-08-09
Marie Curtis Park East Beach,2024-08-09,50,2024-08-09
Marie Curtis Park East Beach,2024-08-09,90,2024-08-09
Sunnyside Beach,2024-08-09,710,2024-08-09
Sunnyside Beach,2024-08-09,160,2024-08-09
Sunnyside Beach,2024-08-09,210,2024-08-09
Sunnyside Beach,2024-08-09,90,2024-08-09
Sunnyside Beach,2024-08-09,260,2024-08-09
Sunnyside Beach,2024-08-09,200,2024-08-09
Marie Curtis Park East Beach,2024-08-08,110,2024-08-08
Marie Curtis Park East Beach,2024-08-08,70,2024-08-08
Marie Curtis Park East Beach,2024-08-08,90,2024-08-08
Marie Curtis Park East Beach,2024-08-08,220,2024-08-08
Marie Curtis Park East Beach,2024-08-08,100,2024-08-08
Sunnyside Beach,2024-08-08,20,2024-08-08
Sunnyside Beach,2024-08-08,210,2024-08-08
Sunnyside Beach,2024-08-08,60,2024-08-08
Sunnyside Beach,2024-08-08,50,2024-08-08
Sunnyside Beach,2024-08-08,170,2024-08-08
Sunnyside Beach,2024-08-08,80,2024-08-08
Marie Curtis Park East Beach,2024-08-07,620,2024-08-07
Marie Curtis Park East Beach,2024-08-07,160,2024-08-07
Marie Curtis Park East Beach,2024-08-07,310,2024-08-07
Marie Curtis Park East Beach,2024-08-07,180,2024-08-07
Marie Curtis Park East Beach,2024-08-07,380,2024-08-07
Sunnyside Beach,2024-08-07,100,2024-08-07
Sunnyside Beach,2024-08-07,70,2024-08-07
Sunnyside Beach,2024-08-07,220,2024-08-07
Sunnyside Beach,2024-08-07,160,2024-08-07
Sunnyside Beach,2024-08-07,430,2024-08-07
Sunnyside Beach,2024-08-07,270,2024-08-07
Marie Curtis Park East Beach,2024-08-06,580,2024-08-06
Marie Curtis Park East Beach,2024-08-06,230,2024-08-06
Marie Curtis Park East Beach,2024-08-06,570,2024-08-06
Marie Curtis Park East Beach,2024-08-06,360,2024-08-06
Marie Curtis Park East Beach,2024-08-06,620,2024-08-06
Sunnyside Beach,2024-08-06,1000,2024-08-06
Sunnyside Beach,2024-08-06,1000,2024-08-06
Sunnyside Beach,2024-08-06,1000,2024-08-06
Sunnyside Beach,2024-08-06,980,2024-08-06
Sunnyside Beach,2024-08-06,1000,2024-08-06
Sunnyside Beach,2024-08-06,1000,2024-08-06
Marie Curtis Park East Beach,2024-08-05,40,2024-08-05
Marie Curtis Park East Beach,2024-08-05,30,2024-08-05
Marie Curtis Park East Beach,2024-08-05,30,2024-08-05
Marie Curtis Park East Beach,2024-08-05,30,2024-08-05
Marie Curtis Park East Beach,2024-08-05,20,2024-08-05
Sunnyside Beach,2024-08-05,40,2024-08-05
Sunnyside Beach,2024-08-05,10,2024-08-05
Sunnyside Beach,2024-08-05,360,2024-08-05
Sunnyside Beach,2024-08-05,240,2024-08-05
Sunnyside Beach,2024-08-05,100,2024-08-05
Sunnyside Beach,2024-08-05,10,2024-08-05
Marie Curtis Park East Beach,2024-08-04,90,2024-08-04
Marie Curtis Park East Beach,2024-08-04,40,2024-08-04
Marie Curtis Park East Beach,2024-08-04,50,2024-08-04
Marie Curtis Park East Beach,2024-08-04,10,2024-08-04
Marie Curtis Park East Beach,2024-08-04,30,2024-08-04
Sunnyside Beach,2024-08-04,300,2024-08-04
Sunnyside Beach,2024-08-04,270,2024-08-04
Sunnyside Beach,2024-08-04,60,2024-08-04
Sunnyside Beach,2024-08-04,50,2024-08-04
Sunnyside Beach,2024-08-04,380,2024-08-04
Sunnyside Beach,2024-08-04,110,2024-08-04
Marie Curtis Park East Beach,2024-08-03,20,2024-08-03
Marie Curtis Park East Beach,2024-08-03,10,2024-08-03
Marie Curtis Park East Beach,2024-08-03,10,2024-08-03
Marie Curtis Park East Beach,2024-08-03,10,2024-08-03
Marie Curtis Park East Beach,2024-08-03,110,2024-08-03
Sunnyside Beach,2024-08-03,220,2024-08-03
Sunnyside Beach,2024-08-03,110,2024-08-03
Sunnyside Beach,2024-08-03,80,2024-08-03
Sunnyside Beach,2024-08-03,210,2024-08-03
Sunnyside Beach,2024-08-03,250,2024-08-03
Sunnyside Beach,2024-08-03,140,2024-08-03
Marie Curtis Park East Beach,2024-08-02,450,2024-08-02
Marie Curtis Park East Beach,2024-08-02,490,2024-08-02
Marie Curtis Park East Beach,2024-08-02,470,2024-08-02
Marie Curtis Park East Beach,2024-08-02,450,2024-08-02
Marie Curtis Park East Beach,2024-08-02,370,2024-08-02
Sunnyside Beach,2024-08-02,120,2024-08-02
Sunnyside Beach,2024-08-02,180,2024-08-02
Sunnyside Beach,2024-08-02,10,2024-08-02
Sunnyside Beach,2024-08-02,10,2024-08-02
Sunnyside Beach,2024-08-02,210,2024-08-02
Sunnyside Beach,2024-08-02,20,2024-08-02
Marie Curtis Park East Beach,2024-08-01,180,2024-08-01
Marie Curtis Park East Beach,2024-08-01,10,2024-08-01
Marie Curtis Park East Beach,2024-08-01,20,2024-08-01
Marie Curtis Park East Beach,2024-08-01,110,2024-08-01
Marie Curtis Park East Beach,2024-08-01,50,2024-08-01
Sunnyside Beach,2024-08-01,140,2024-08-01
Sunnyside Beach,2024-08-01,80,2024-08-01
Sunnyside Beach,2024-08-01,70,2024-08-01
Sunnyside Beach,2024-08-01,270,2024-08-01
Sunnyside Beach,2024-08-01,130,2024-08-01
Sunnyside Beach,2024-08-01,150,2024-08-01
Marie Curtis Park East Beach,2024-07-31,180,2024-07-31
Marie Curtis Park East Beach,2024-07-31,210,2024-07-31
Marie Curtis Park East Beach,2024-07-31,170,2024-07-31
Marie Curtis Park East Beach,2024-07-31,350,2024-07-31
Marie Curtis Park East Beach,2024-07-31,330,2024-07-31
Sunnyside Beach,2024-07-31,220,2024-07-31
Sunnyside Beach,2024-07-31,260,2024-07-31
Sunnyside Beach,2024-07-31,270,2024-07-31
Sunnyside Beach,2024-07-31,430,2024-07-31
Sunnyside Beach,2024-07-31,890,2024-07-31
Sunnyside Beach,2024-07-31,340,2024-07-31
Marie Curtis Park East Beach,2024-07-30,30,2024-07-30
Marie Curtis Park East Beach,2024-07-30,40,2024-07-30
Marie Curtis Park East Beach,2024-07-30,30,2024-07-30
Marie Curtis Park East Beach,2024-07-30,60,2024-07-30
Marie Curtis Park East Beach,2024-07-30,60,2024-07-30
Sunnyside Beach,2024-07-30,40,2024-07-30
Sunnyside Beach,2024-07-30,100,2024-07-30
Sunnyside Beach,2024-07-30,10,2024-07-30
Sunnyside Beach,2024-07-30,30,2024-07-30
Sunnyside Beach,2024-07-30,150,2024-07-30
Sunnyside Beach,2024-07-30,10,2024-07-30
Marie Curtis Park East Beach,2024-07-29,100,2024-07-29
Marie Curtis Park East Beach,2024-07-29,90,2024-07-29
Marie Curtis Park East Beach,2024-07-29,230,2024-07-29
Marie Curtis Park East Beach,2024-07-29,70,2024-07-29
Marie Curtis Park East Beach,2024-07-29,10,2024-07-29
Sunnyside Beach,2024-07-29,200,2024-07-29
Sunnyside Beach,2024-07-29,140,2024-07-29
Sunnyside Beach,2024-07-29,10,2024-07-29
Sunnyside Beach,2024-07-29,10,2024-07-29
Sunnyside Beach,2024-07-29,30,2024-07-29
Sunnyside Beach,2024-07-29,10,2024-07-29
Marie Curtis Park East Beach,2024-07-28,250,2024-07-28
Marie Curtis Park East Beach,2024-07-28,30,2024-07-28
Marie Curtis Park East Beach,2024-07-28,10,2024-07-28
Marie Curtis Park East Beach,2024-07-28,80,2024-07-28
Marie Curtis Park East Beach,2024-07-28,250,2024-07-28
Sunnyside Beach,2024-07-28,70,2024-07-28
Sunnyside Beach,2024-07-28,120,2024-07-28
Sunnyside Beach,2024-07-28,20,2024-07-28
Sunnyside Beach,2024-07-28,40,2024-07-28
Sunnyside Beach,2024-07-28,70,2024-07-28
Sunnyside Beach,2024-07-28,30,2024-07-28
Marie Curtis Park East Beach,2024-07-27,130,2024-07-27
Marie Curtis Park East Beach,2024-07-27,80,2024-07-27
Marie Curtis Park East Beach,2024-07-27,110,2024-07-27
Marie Curtis Park East Beach,2024-07-27,110,2024-07-27
Marie Curtis Park East Beach,2024-07-27,150,2024-07-27
Sunnyside Beach,2024-07-27,70,2024-07-27
Sunnyside Beach,2024-07-27,90,2024-07-27
Sunnyside Beach,2024-07-27,40,2024-07-27
Sunnyside Beach,2024-07-27,70,2024-07-27
Sunnyside Beach,2024-07-27,100,2024-07-27
Sunnyside Beach,2024-07-27,50,2024-07-27
Marie Curtis Park East Beach,2024-07-26,180,2024-07-26
Marie Curtis Park East Beach,2024-07-26,120,2024-07-26
Marie Curtis Park East Beach,2024-07-26,130,2024-07-26
Marie Curtis Park East Beach,2024-07-26,120,2024-07-26
Marie Curtis Park East Beach,2024-07-26,140,2024-07-26
Sunnyside Beach,2024-07-26,430,2024-07-26
Sunnyside Beach,2024-07-26,420,2024-07-26
Sunnyside Beach,2024-07-26,1000,2024-07-26
Sunnyside Beach,2024-07-26,1000,2024-07-26
Sunnyside Beach,2024-07-26,480,2024-07-26
Sunnyside Beach,2024-07-26,450,2024-07-26
Marie Curtis Park East Beach,2024-07-25,50,2024-07-25
Marie Curtis Park East Beach,2024-07-25,50,2024-07-25
Marie Curtis Park East Beach,2024-07-25,80,2024-07-25
Marie Curtis Park East Beach,2024-07-25,80,2024-07-25
Marie Curtis Park East Beach,2024-07-25,40,2024-07-25
Sunnyside Beach,2024-07-25,900,2024-07-25
Sunnyside Beach,2024-07-25,880,2024-07-25
Sunnyside Beach,2024-07-25,120,2024-07-25
Sunnyside Beach,2024-07-25,780,2024-07-25
Sunnyside Beach,2024-07-25,790,2024-07-25
Sunnyside Beach,2024-07-25,590,2024-07-25
Marie Curtis Park East Beach,2024-07-24,10,2024-07-24
Marie Curtis Park East Beach,2024-07-24,50,2024-07-24
Marie Curtis Park East Beach,2024-07-24,110,2024-07-24
Marie Curtis Park East Beach,2024-07-24,40,2024-07-24
Marie Curtis Park East Beach,2024-07-24,90,2024-07-24
Sunnyside Beach,2024-07-24,20,2024-07-24
Sunnyside Beach,2024-07-24,90,2024-07-24
Sunnyside Beach,2024-07-24,110,2024-07-24
Sunnyside Beach,2024-07-24,240,2024-07-24
Sunnyside Beach,2024-07-24,140,2024-07-24
Sunnyside Beach,2024-07-24,50,2024-07-24
Marie Curtis Park East Beach,2024-07-23,10,2024-07-23
Marie Curtis Park East Beach,2024-07-23,10,2024-07-23
Marie Curtis Park East Beach,2024-07-23,10,2024-07-23
Marie Curtis Park East Beach,2024-07-23,20,2024-07-23
Marie Curtis Park East Beach,2024-07-23,10,2024-07-23
Sunnyside Beach,2024-07-23,80,2024-07-23
Sunnyside Beach,2024-07-23,160,2024-07-23
Sunnyside Beach,2024-07-23,20,2024-07-23
Sunnyside Beach,2024-07-23,10,2024-07-23
Sunnyside Beach,2024-07-23,90,2024-07-23
Sunnyside Beach,2024-07-23,50,2024-07-23
Marie Curtis Park East Beach,2024-07-22,10,2024-07-22
Marie Curtis Park East Beach,2024-07-22,20,2024-07-22
Marie Curtis Park East Beach,2024-07-22,10,2024-07-22
Marie Curtis Park East Beach,2024-07-22,10,2024-07-22
Marie Curtis Park East Beach,2024-07-22,10,2024-07-22
Sunnyside Beach,2024-07-22,100,2024-07-22
