Name,collection_date,site_name,e_coli,Date,is_outlier
Sunnyside Beach,2024-09-01,20W,170,2024-09-01,Normal
Sunnyside Beach,2024-09-01,21W,80,2024-09-01,Normal
Sunnyside Beach,2024-09-01,19W,400,2024-09-01,Normal
Sunnyside Beach,2024-09-01,22W,360,2024-09-01,Normal
Marie Curtis Park East Beach,2024-08-31,29W,50,2024-08-31,Normal
Marie Curtis Park East Beach,2024-08-31,33W,870,2024-08-31,Normal
Marie Curtis Park East Beach,2024-08-31,32W,1010,2024-08-31,Normal
Marie Curtis Park East Beach,2024-08-31,31W,250,2024-08-31,Normal
Marie Curtis Park East Beach,2024-08-31,30W,150,2024-08-31,Normal
Sunnyside Beach,2024-08-31,18W,290,2024-08-31,Normal
Sunnyside Beach,2024-08-31,17W,350,2024-08-31,Normal
Sunnyside Beach,2024-08-31,20W,110,2024-08-31,Normal
Sunnyside Beach,2024-08-31,21W,400,2024-08-31,Normal
Sunnyside Beach,2024-08-31,19W,200,2024-08-31,Normal
Sunnyside Beach,2024-08-31,22W,330,2024-08-31,Normal
Marie Curtis Park East Beach,2024-08-30,29W,30,2024-08-30,Normal
Marie Curtis Park East Beach,2024-08-30,33W,30,2024-08-30,Normal
Marie Curtis Park East Beach,2024-08-30,32W,40,2024-08-30,Normal
Marie Curtis Park East Beach,2024-08-30,31W,40,2024-08-30,Normal
Marie Curtis Park East Beach,2024-08-30,30W,60,2024-08-30,Normal
Sunnyside Beach,2024-08-30,18W,70,2024-08-30,Normal
Sunnyside Beach,2024-08-30,17W,20,2024-08-30,Normal
Sunnyside Beach,2024-08-30,20W,30,2024-08-30,Normal
Sunnyside Beach,2024-08-30,21W,110,2024-08-30,Normal
Sunnyside Beach,2024-08-30,19W,20,2024-08-30,Normal
Sunnyside Beach,2024-08-30,22W,30,2024-08-30,Normal
Marie Curtis Park East Beach,2024-08-29,29W,50,2024-08-29,Normal
Marie Curtis Park East Beach,2024-08-29,33W,100,2024-08-29,Normal
Marie Curtis Park East Beach,2024-08-29,32W,110,2024-08-29,Normal
Marie Curtis Park East Beach,2024-08-29,31W,30,2024-08-29,Normal
Marie Curtis Park East Beach,2024-08-29,30W,100,2024-08-29,Normal
Sunnyside Beach,2024-08-29,18W,120,2024-08-29,Normal
Sunnyside Beach,2024-08-29,17W,60,2024-08-29,Normal
Sunnyside Beach,2024-08-29,20W,90,2024-08-29,Normal
Sunnyside Beach,2024-08-29,21W,290,2024-08-29,Normal
Sunnyside Beach,2024-08-29,19W,40,2024-08-29,Normal
Sunnyside Beach,2024-08-29,22W,40,2024-08-29,Normal
Marie Curtis Park East Beach,2024-08-28,29W,10,2024-08-28,Normal
Marie Curtis Park East Beach,2024-08-28,33W,40,2024-08-28,Normal
Marie Curtis Park East Beach,2024-08-28,32W,50,2024-08-28,Normal
Marie Curtis Park East Beach,2024-08-28,31W,50,2024-08-28,Normal
Marie Curtis Park East Beach,2024-08-28,30W,10,2024-08-28,Normal
Sunnyside Beach,2024-08-28,18W,490,2024-08-28,Normal
Sunnyside Beach,2024-08-28,17W,600,2024-08-28,Normal
Sunnyside Beach,2024-08-28,20W,260,2024-08-28,Normal
Sunnyside Beach,2024-08-28,21W,320,2024-08-28,Normal
Sunnyside Beach,2024-08-28,19W,320,2024-08-28,Normal
Sunnyside Beach,2024-08-28,22W,280,2024-08-28,Normal
Marie Curtis Park East Beach,2024-08-27,29W,200,2024-08-27,Normal
Marie Curtis Park East Beach,2024-08-27,33W,100,2024-08-27,Normal
Marie Curtis Park East Beach,2024-08-27,32W,110,2024-08-27,Normal
Marie Curtis Park East Beach,2024-08-27,31W,200,2024-08-27,Normal
Marie Curtis Park East Beach,2024-08-27,30W,230,2024-08-27,Normal
Sunnyside Beach,2024-08-27,18W,870,2024-08-27,Normal
Sunnyside Beach,2024-08-27,17W,80,2024-08-27,Normal
Sunnyside Beach,2024-08-27,20W,10,2024-08-27,Normal
Sunnyside Beach,2024-08-27,21W,150,2024-08-27,Normal
Sunnyside Beach,2024-08-27,19W,150,2024-08-27,Normal
Sunnyside Beach,2024-08-27,22W,440,2024-08-27,Normal
Marie Curtis Park East Beach,2024-08-26,29W,40,2024-08-26,Normal
Marie Curtis Park East Beach,2024-08-26,33W,30,2024-08-26,Normal
Marie Curtis Park East Beach,2024-08-26,32W,50,2024-08-26,Normal
Marie Curtis Park East Beach,2024-08-26,31W,20,2024-08-26,Normal
Marie Curtis Park East Beach,2024-08-26,30W,30,2024-08-26,Normal
Sunnyside Beach,2024-08-26,18W,40,2024-08-26,Normal
Sunnyside Beach,2024-08-26,17W,30,2024-08-26,Normal
Sunnyside Beach,2024-08-26,20W,20,2024-08-26,Normal
Sunnyside Beach,2024-08-26,21W,30,2024-08-26,Normal
Sunnyside Beach,2024-08-26,19W,10,2024-08-26,Normal
Sunnyside Beach,2024-08-26,22W,10,2024-08-26,Normal
Marie Curtis Park East Beach,2024-08-25,29W,50,2024-08-25,Normal
Marie Curtis Park East Beach,2024-08-25,33W,30,2024-08-25,Normal
Marie Curtis Park East Beach,2024-08-25,32W,60,2024-08-25,Normal
Marie Curtis Park East Beach,2024-08-25,31W,40,2024-08-25,Normal
Marie Curtis Park East Beach,2024-08-25,30W,20,2024-08-25,Normal
Sunnyside Beach,2024-08-25,18W,10,2024-08-25,Normal
Sunnyside Beach,2024-08-25,17W,40,2024-08-25,Normal
Sunnyside Beach,2024-08-25,20W,40,2024-08-25,Normal
Sunnyside Beach,2024-08-25,21W,20,2024-08-25,Normal
Sunnyside Beach,2024-08-25,19W,50,2024-08-25,Normal
Sunnyside Beach,2024-08-25,22W,80,2024-08-25,Normal
Marie Curtis Park East Beach,2024-08-24,29W,200,2024-08-24,Normal
Marie Curtis Park East Beach,2024-08-24,33W,130,2024-08-24,Normal
Marie Curtis Park East Beach,2024-08-24,32W,100,2024-08-24,Normal
Marie Curtis Park East Beach,2024-08-24,31W,140,2024-08-24,Normal
Marie Curtis Park East Beach,2024-08-24,30W,140,2024-08-24,Normal
Sunnyside Beach,2024-08-24,18W,80,2024-08-24,Normal
Sunnyside Beach,2024-08-24,17W,60,2024-08-24,Normal
Sunnyside Beach,2024-08-24,20W,400,2024-08-24,Normal
Sunnyside Beach,2024-08-24,21W,210,2024-08-24,Normal
Sunnyside Beach,2024-08-24,19W,280,2024-08-24,Normal
Sunnyside Beach,2024-08-24,22W,180,2024-08-24,Normal
Marie Curtis Park East Beach,2024-08-23,29W,40,2024-08-23,Normal
Marie Curtis Park East Beach,2024-08-23,33W,50,2024-08-23,Normal
Marie Curtis Park East Beach,2024-08-23,32W,20,2024-08-23,Normal
Marie Curtis Park East Beach,2024-08-23,31W,110,2024-08-23,Normal
Marie Curtis Park East Beach,2024-08-23,30W,40,2024-08-23,Normal
Sunnyside Beach,2024-08-23,18W,300,2024-08-23,Normal
Sunnyside Beach,2024-08-23,17W,490,2024-08-23,Normal
Sunnyside Beach,2024-08-23,20W,140,2024-08-23,Normal
Sunnyside Beach,2024-08-23,21W,50,2024-08-23,Normal
Sunnyside Beach,2024-08-23,19W,190,2024-08-23,Normal
Sunnyside Beach,2024-08-23,22W,70,2024-08-23,Normal
Marie Curtis Park East Beach,2024-08-22,29W,50,2024-08-22,Normal
Marie Curtis Park East Beach,2024-08-22,33W,40,2024-08-22,Normal
Marie Curtis Park East Beach,2024-08-22,32W,40,2024-08-22,Normal
Marie Curtis Park East Beach,2024-08-22,31W,80,2024-08-22,Normal
Marie Curtis Park East Beach,2024-08-22,30W,20,2024-08-22,Normal
Sunnyside Beach,2024-08-22,18W,130,2024-08-22,Normal
Sunnyside Beach,2024-08-22,17W,140,2024-08-22,Normal
Sunnyside Beach,2024-08-22,20W,70,2024-08-22,Normal
Sunnyside Beach,2024-08-22,21W,110,2024-08-22,Normal
Sunnyside Beach,2024-08-22,19W,160,2024-08-22,Normal
Sunnyside Beach,2024-08-22,22W,60,2024-08-22,Normal
Marie Curtis Park East Beach,2024-08-21,29W,10,2024-08-21,Normal
Marie Curtis Park East Beach,2024-08-21,33W,20,2024-08-21,Normal
Marie Curtis Park East Beach,2024-08-21,32W,10,2024-08-21,Normal
Marie Curtis Park East Beach,2024-08-21,31W,10,2024-08-21,Normal
Marie Curtis Park East Beach,2024-08-21,30W,20,2024-08-21,Normal
Sunnyside Beach,2024-08-21,18W,190,2024-08-21,Normal
Sunnyside Beach,2024-08-21,17W,200,2024-08-21,Normal
Sunnyside Beach,2024-08-21,20W,40,2024-08-21,Normal
Sunnyside Beach,2024-08-21,21W,60,2024-08-21,Normal
Sunnyside Beach,2024-08-21,19W,90,2024-08-21,Normal
Sunnyside Beach,2024-08-21,22W,50,2024-08-21,Normal
Marie Curtis Park East Beach,2024-08-20,29W,300,2024-08-20,Normal
Marie Curtis Park East Beach,2024-08-20,33W,180,2024-08-20,Normal
Marie Curtis Park East Beach,2024-08-20,32W,350,2024-08-20,Normal
Marie Curtis Park East Beach,2024-08-20,31W,270,2024-08-20,Normal
Marie Curtis Park East Beach,2024-08-20,30W,330,2024-08-20,Normal
Sunnyside Beach,2024-08-20,18W,350,2024-08-20,Normal
Sunnyside Beach,2024-08-20,17W,30,2024-08-20,Normal
Sunnyside Beach,2024-08-20,20W,150,2024-08-20,Normal
Sunnyside Beach,2024-08-20,21W,70,2024-08-20,Normal
Sunnyside Beach,2024-08-20,19W,380,2024-08-20,Normal
Sunnyside Beach,2024-08-20,22W,50,2024-08-20,Normal
Marie Curtis Park East Beach,2024-08-19,29W,370,2024-08-19,Normal
Marie Curtis Park East Beach,2024-08-19,33W,250,2024-08-19,Normal
Marie Curtis Park East Beach,2024-08-19,32W,370,2024-08-19,Normal
Marie Curtis Park East Beach,2024-08-19,31W,360,2024-08-19,Normal
Marie Curtis Park East Beach,2024-08-19,30W,350,2024-08-19,Normal
Sunnyside Beach,2024-08-19,18W,80,2024-08-19,Normal
Sunnyside Beach,2024-08-19,17W,80,2024-08-19,Normal
Sunnyside Beach,2024-08-19,20W,70,2024-08-19,Normal
Sunnyside Beach,2024-08-19,21W,180,2024-08-19,Normal
Sunnyside Beach,2024-08-19,19W,90,2024-08-19,Normal
Sunnyside Beach,2024-08-19,22W,110,2024-08-19,Normal
Marie Curtis Park East Beach,2024-08-18,29W,300,2024-08-18,Normal
Marie Curtis Park East Beach,2024-08-18,33W,10,2024-08-18,Normal
Marie Curtis Park East Beach,2024-08-18,32W,20,2024-08-18,Normal
Marie Curtis Park East Beach,2024-08-18,31W,210,2024-08-18,Normal
Marie Curtis Park East Beach,2024-08-18,30W,340,2024-08-18,Normal
Sunnyside Beach,2024-08-18,18W,600,2024-08-18,Normal
Sunnyside Beach,2024-08-18,17W,320,2024-08-18,Normal
Sunnyside Beach,2024-08-18,20W,240,2024-08-18,Normal
Sunnyside Beach,2024-08-18,21W,190,2024-08-18,Normal
Sunnyside Beach,2024-08-18,19W,350,2024-08-18,Normal
Sunnyside Beach,2024-08-18,22W,280,2024-08-18,Normal
Marie Curtis Park East Beach,2024-08-17,29W,40,2024-08-17,Normal
Marie Curtis Park East Beach,2024-08-17,33W,10,2024-08-17,Normal
Marie Curtis Park East Beach,2024-08-17,32W,20,2024-08-17,Normal
Marie Curtis Park East Beach,2024-08-17,31W,10,2024-08-17,Normal
Marie Curtis Park East Beach,2024-08-17,30W,40,2024-08-17,Normal
Sunnyside Beach,2024-08-17,18W,90,2024-08-17,Normal
Sunnyside Beach,2024-08-17,17W,100,2024-08-17,Normal
Sunnyside Beach,2024-08-17,20W,60,2024-08-17,Normal
Sunnyside Beach,2024-08-17,21W,20,2024-08-17,Normal
Sunnyside Beach,2024-08-17,19W,140,2024-08-17,Normal
Sunnyside Beach,2024-08-17,22W,20,2024-08-17,Normal
Marie Curtis Park East Beach,2024-08-16,29W,10,2024-08-16,Normal
Marie Curtis Park East Beach,2024-08-16,33W,10,2024-08-16,Normal
Marie Curtis Park East Beach,2024-08-16,32W,10,2024-08-16,Normal
Marie Curtis Park East Beach,2024-08-16,31W,10,2024-08-16,Normal
Marie Curtis Park East Beach,2024-08-16,30W,10,2024-08-16,Normal
Sunnyside Beach,2024-08-16,18W,90,2024-08-16,Normal
Sunnyside Beach,2024-08-16,17W,160,2024-08-16,Normal
Sunnyside Beach,2024-08-16,20W,40,2024-08-16,Normal
Sunnyside Beach,2024-08-16,21W,30,2024-08-16,Normal
Sunnyside Beach,2024-08-16,19W,50,2024-08-16,Normal
Sunnyside Beach,2024-08-16,22W,20,2024-08-16,Normal
Marie Curtis Park East Beach,2024-08-15,29W,30,2024-08-15,Normal
Marie Curtis Park East Beach,2024-08-15,33W,10,2024-08-15,Normal
Marie Curtis Park East Beach,2024-08-15,32W,20,2024-08-15,Normal
Marie Curtis Park East Beach,2024-08-15,31W,10,2024-08-15,Normal
Marie Curtis Park East Beach,2024-08-15,30W,10,2024-08-15,Normal
Sunnyside Beach,2024-08-15,18W,220,2024-08-15,Normal
Sunnyside Beach,2024-08-15,17W,130,2024-08-15,Normal
Sunnyside Beach,2024-08-15,20W,10,2024-08-15,Normal
Sunnyside Beach,2024-08-15,21W,10,2024-08-15,Normal
Sunnyside Beach,2024-08-15,19W,60,2024-08-15,Normal
Sunnyside Beach,2024-08-15,22W,20,2024-08-15,Normal
Marie Curtis Park East Beach,2024-08-14,29W,10,2024-08-14,Normal
Marie Curtis Park East Beach,2024-08-14,33W,10,2024-08-14,Normal
Marie Curtis Park East Beach,2024-08-14,32W,20,2024-08-14,Normal
Marie Curtis Park East Beach,2024-08-14,31W,30,2024-08-14,Normal
Marie Curtis Park East Beach,2024-08-14,30W,10,2024-08-14,Normal
Sunnyside Beach,2024-08-14,18W,220,2024-08-14,Normal
Sunnyside Beach,2024-08-14,17W,160,2024-08-14,Normal
Sunnyside Beach,2024-08-14,20W,30,2024-08-14,Normal
Sunnyside Beach,2024-08-14,21W,30,2024-08-14,Normal
Sunnyside Beach,2024-08-14,19W,170,2024-08-14,Normal
Sunnyside Beach,2024-08-14,22W,20,2024-08-14,Normal
Marie Curtis Park East Beach,2024-08-13,29W,10,2024-08-13,Normal
Marie Curtis Park East Beach,2024-08-13,33W,30,2024-08-13,Normal
Marie Curtis Park East Beach,2024-08-13,32W,20,2024-08-13,Normal
Marie Curtis Park East Beach,2024-08-13,31W,10,2024-08-13,Normal
Marie Curtis Park East Beach,2024-08-13,30W,10,2024-08-13,Normal
Sunnyside Beach,2024-08-13,18W,800,2024-08-13,Normal
Sunnyside Beach,2024-08-13,17W,160,2024-08-13,Normal
Sunnyside Beach,2024-08-13,20W,90,2024-08-13,Normal
Sunnyside Beach,2024-08-13,21W,50,2024-08-13,Normal
Sunnyside Beach,2024-08-13,19W,200,2024-08-13,Normal
Sunnyside Beach,2024-08-13,22W,20,2024-08-13,Normal
Marie Curtis Park East Beach,2024-08-12,29W,20,2024-08-12,Normal
Marie Curtis Park East Beach,2024-08-12,33W,10,2024-08-12,Normal
Marie Curtis Park East Beach,2024-08-12,32W,10,2024-08-12,Normal
Marie Curtis Park East Beach,2024-08-12,31W,20,2024-08-12,Normal
Marie Curtis Park East Beach,2024-08-12,30W,10,2024-08-12,Normal
Sunnyside Beach,2024-08-12,18W,90,2024-08-12,Normal
Sunnyside Beach,2024-08-12,17W,390,2024-08-12,Normal
Sunnyside Beach,2024-08-12,20W,100,2024-08-12,Normal
Sunnyside Beach,2024-08-12,21W,100,2024-08-12,Normal
Sunnyside Beach,2024-08-12,19W,30,2024-08-12,Normal
Sunnyside Beach,2024-08-12,22W,30,2024-08-12,Normal
Marie Curtis Park East Beach,2024-08-11,29W,180,2024-08-11,Normal
Marie Curtis Park East Beach,2024-08-11,33W,110,2024-08-11,Normal
Marie Curtis Park East Beach,2024-08-11,32W,150,2024-08-11,Normal
Marie Curtis Park East Beach,2024-08-11,31W,140,2024-08-11,Normal
Marie Curtis Park East Beach,2024-08-11,30W,180,2024-08-11,Normal
Sunnyside Beach,2024-08-11,18W,70,2024-08-11,Normal
Sunnyside Beach,2024-08-11,17W,60,2024-08-11,Normal
Sunnyside Beach,2024-08-11,20W,30,2024-08-11,Normal
Sunnyside Beach,2024-08-11,21W,60,2024-08-11,Normal
Sunnyside Beach,2024-08-11,19W,10,2024-08-11,Normal
Sunnyside Beach,2024-08-11,22W,170,2024-08-11,Normal
Marie Curtis Park East Beach,2024-08-10,29W,290,2024-08-10,Normal
Marie Curtis Park East Beach,2024-08-10,33W,230,2024-08-10,Normal
Marie Curtis Park East Beach,2024-08-10,32W,100,2024-08-10,Normal
Marie Curtis Park East Beach,2024-08-10,31W,240,2024-08-10,Normal
Marie Curtis Park East Beach,2024-08-10,30W,210,2024-08-10,Normal
Sunnyside Beach,2024-08-10,18W,190,2024-08-10,Normal
Sunnyside Beach,2024-08-10,17W,80,2024-08-10,Normal
Sunnyside Beach,2024-08-10,20W,140,2024-08-10,Normal
Sunnyside Beach,2024-08-10,21W,240,2024-08-10,Normal
Sunnyside Beach,2024-08-10,19W,250,2024-08-10,Normal
Sunnyside Beach,2024-08-10,22W,340,2024-08-10,Normal
Marie Curtis Park East Beach,2024-08-09,29W,460,2024-08-09,Normal
Marie Curtis Park East Beach,2024-08-09,33W,300,2024-08-09,Normal
Marie Curtis Park East Beach,2024-08-09,32W,110,2024-08-09,Normal
Marie Curtis Park East Beach,2024-08-09,31W,50,2024-08-09,Normal
Marie Curtis Park East Beach,2024-08-09,30W,90,2024-08-09,Normal
Sunnyside Beach,2024-08-09,18W,710,2024-08-09,Normal
Sunnyside Beach,2024-08-09,17W,160,2024-08-09,Normal
Sunnyside Beach,2024-08-09,20W,210,2024-08-09,Normal
Sunnyside Beach,2024-08-09,21W,90,2024-08-09,Normal
Sunnyside Beach,2024-08-09,19W,260,2024-08-09,Normal
Sunnyside Beach,2024-08-09,22W,200,2024-08-09,Normal
Marie Curtis Park East Beach,2024-08-08,29W,110,2024-08-08,Normal
Marie Curtis Park East Beach,2024-08-08,33W,70,2024-08-08,Normal
Marie Curtis Park East Beach,2024-08-08,32W,90,2024-08-08,Normal
Marie Curtis Park East Beach,2024-08-08,31W,220,2024-08-08,Normal
Marie Curtis Park East Beach,2024-08-08,30W,100,2024-08-08,Normal
Sunnyside Beach,2024-08-08,18W,20,2024-08-08,Normal
Sunnyside Beach,2024-08-08,17W,210,2024-08-08,Normal
Sunnyside Beach,2024-08-08,20W,60,2024-08-08,Normal
Sunnyside Beach,2024-08-08,21W,50,2024-08-08,Normal
Sunnyside Beach,2024-08-08,19W,170,2024-08-08,Normal
Sunnyside Beach,2024-08-08,22W,80,2024-08-08,Normal
Marie Curtis Park East Beach,2024-08-07,29W,620,2024-08-07,Normal
Marie Curtis Park East Beach,2024-08-07,33W,160,2024-08-07,Normal
Marie Curtis Park East Beach,2024-08-07,32W,310,2024-08-07,Normal
Marie Curtis Park East Beach,2024-08-07,31W,180,2024-08-07,Normal
Marie Curtis Park East Beach,2024-08-07,30W,380,2024-08-07,Normal
Sunnyside Beach,2024-08-07,18W,100,2024-08-07,Normal
Sunnyside Beach,2024-08-07,17W,70,2024-08-07,Normal
Sunnyside Beach,2024-08-07,20W,220,2024-08-07,Normal
Sunnyside Beach,2024-08-07,21W,160,2024-08-07,Normal
Sunnyside Beach,2024-08-07,19W,430,2024-08-07,Normal
Sunnyside Beach,2024-08-07,22W,270,2024-08-07,Normal
Marie Curtis Park East Beach,2024-08-06,29W,580,2024-08-06,Normal
Marie Curtis Park East Beach,2024-08-06,33W,230,2024-08-06,Normal
Marie Curtis Park East Beach,2024-08-06,32W,570,2024-08-06,Normal
Marie Curtis Park East Beach,2024-08-06,31W,360,2024-08-06,Normal
Marie Curtis Park East Beach,2024-08-06,30W,620,2024-08-06,Normal
Sunnyside Beach,2024-08-06,18W,1000,2024-08-06,Normal
Sunnyside Beach,2024-08-06,17W,1000,2024-08-06,Normal
Sunnyside Beach,2024-08-06,20W,1000,2024-08-06,Normal
Sunnyside Beach,2024-08-06,21W,980,2024-08-06,Normal
Sunnyside Beach,2024-08-06,19W,1000,2024-08-06,Normal
Sunnyside Beach,2024-08-06,22W,1000,2024-08-06,Normal
Marie Curtis Park East Beach,2024-08-05,29W,40,2024-08-05,Normal
Marie Curtis Park East Beach,2024-08-05,33W,30,2024-08-05,Normal
Marie Curtis Park East Beach,2024-08-05,32W,30,2024-08-05,Normal
Marie Curtis Park East Beach,2024-08-05,31W,30,2024-08-05,Normal
Marie Curtis Park East Beach,2024-08-05,30W,20,2024-08-05,Normal
Sunnyside Beach,2024-08-05,18W,40,2024-08-05,Normal
Sunnyside Beach,2024-08-05,17W,10,2024-08-05,Normal
Sunnyside Beach,2024-08-05,20W,360,2024-08-05,Normal
Sunnyside Beach,2024-08-05,21W,240,2024-08-05,Normal
Sunnyside Beach,2024-08-05,19W,100,2024-08-05,Normal
Sunnyside Beach,2024-08-05,22W,10,2024-08-05,Normal
Marie Curtis Park East Beach,2024-08-04,29W,90,2024-08-04,Normal
Marie Curtis Park East Beach,2024-08-04,33W,40,2024-08-04,Normal
Marie Curtis Park East Beach,2024-08-04,32W,50,2024-08-04,Normal
Marie Curtis Park East Beach,2024-08-04,31W,10,2024-08-04,Normal
Marie Curtis Park East Beach,2024-08-04,30W,30,2024-08-04,Normal
Sunnyside Beach,2024-08-04,18W,300,2024-08-04,Normal
Sunnyside Beach,2024-08-04,17W,270,2024-08-04,Normal
Sunnyside Beach,2024-08-04,20W,60,2024-08-04,Normal
Sunnyside Beach,2024-08-04,21W,50,2024-08-04,Normal
Sunnyside Beach,2024-08-04,19W,380,2024-08-04,Normal
Sunnyside Beach,2024-08-04,22W,110,2024-08-04,Normal
Marie Curtis Park East Beach,2024-08-03,29W,20,2024-08-03,Normal
Marie Curtis Park East Beach,2024-08-03,33W,10,2024-08-03,Normal
Marie Curtis Park East Beach,2024-08-03,32W,10,2024-08-03,Normal
Marie Curtis Park East Beach,2024-08-03,31W,10,2024-08-03,Normal
Marie Curtis Park East Beach,2024-08-03,30W,110,2024-08-03,Normal
Sunnyside Beach,2024-08-03,18W,220,2024-08-03,Normal
Sunnyside Beach,2024-08-03,17W,110,2024-08-03,Normal
Sunnyside Beach,2024-08-03,20W,80,2024-08-03,Normal
Sunnyside Beach,2024-08-03,21W,210,2024-08-03,Normal
Sunnyside Beach,2024-08-03,19W,250,2024-08-03,Normal
Sunnyside Beach,2024-08-03,22W,140,2024-08-03,Normal
Marie Curtis Park East Beach,2024-08-02,29W,450,2024-08-02,Normal
Marie Curtis Park East Beach,2024-08-02,33W,490,2024-08-02,Normal
Marie Curtis Park East Beach,2024-08-02,32W,470,2024-08-02,Normal
Marie Curtis Park East Beach,2024-08-02,31W,450,2024-08-02,Normal
Marie Curtis Park East Beach,2024-08-02,30W,370,2024-08-02,Normal
Sunnyside Beach,2024-08-02,18W,120,2024-08-02,Normal
Sunnyside Beach,2024-08-02,17W,180,2024-08-02,Normal
Sunnyside Beach,2024-08-02,20W,10,2024-08-02,Normal
Sunnyside Beach,2024-08-02,21W,10,2024-08-02,Normal
Sunnyside Beach,2024-08-02,19W,210,2024-08-02,Normal
Sunnyside Beach,2024-08-02,22W,20,2024-08-02,Normal
Marie Curtis Park East Beach,2024-08-01,29W,180,2024-08-01,Normal
Marie Curtis Park East Beach,2024-08-01,33W,10,2024-08-01,Normal
Marie Curtis Park East Beach,2024-08-01,32W,20,2024-08-01,Normal
Marie Curtis Park East Beach,2024-08-01,31W,110,2024-08-01,Normal
Marie Curtis Park East Beach,2024-08-01,30W,50,2024-08-01,Normal
Sunnyside Beach,2024-08-01,18W,140,2024-08-01,Normal
Sunnyside Beach,2024-08-01,17W,80,2024-08-01,Normal
Sunnyside Beach,2024-08-01,20W,70,2024-08-01,Normal
Sunnyside Beach,2024-08-01,21W,270,2024-08-01,Normal
Sunnyside Beach,2024-08-01,19W,130,2024-08-01,Normal
Sunnyside Beach,2024-08-01,22W,150,2024-08-01,Normal
Marie Curtis Park East Beach,2024-07-31,29W,180,2024-07-31,Normal
Marie Curtis Park East Beach,2024-07-31,33W,210,2024-07-31,Normal
Marie Curtis Park East Beach,2024-07-31,32W,170,2024-07-31,Normal
